"wikidata_url","wikidata_qid","place_label","location"
http://www.wikidata.org/entity/Q1009298,Q1009298,Swanage,Point(-1.96 50.61)
http://www.wikidata.org/entity/Q1009316,Q1009316,Runcorn,Point(-2.712 53.328)
http://www.wikidata.org/entity/Q1009324,Q1009324,Richmond,Point(-1.737222 54.403611)
http://www.wikidata.org/entity/Q1009340,Q1009340,Oldmeldrum,Point(-2.32 57.335)
http://www.wikidata.org/entity/Q1009402,Q1009402,Killin,Point(-4.318 56.466)
http://www.wikidata.org/entity/Q1009524,Q1009524,Whalley,Point(-2.40405 53.824088888)
http://www.wikidata.org/entity/Q1009637,Q1009637,Innellan,Point(-4.96667 55.8833)
http://www.wikidata.org/entity/Q1009643,Q1009643,Rettendon,Point(0.549661111 51.654402777)
http://www.wikidata.org/entity/Q1009644,Q1009644,Stuartfield,Point(-2.045 57.502)
http://www.wikidata.org/entity/Q1009662,Q1009662,Longforgan,Point(-3.1233 56.4572)
http://www.wikidata.org/entity/Q1009668,Q1009668,Otterburn,Point(-2.183333333 55.233333333)
http://www.wikidata.org/entity/Q1009669,Q1009669,Longside,Point(-1.933 57.5167)
http://www.wikidata.org/entity/Q1009675,Q1009675,Locharbriggs,Point(-3.58333 55.1)
http://www.wikidata.org/entity/Q1009694,Q1009694,Glassford,Point(-4.02889 55.7003)
http://www.wikidata.org/entity/Q1009701,Q1009701,Whitehills,Point(-2.58333 57.6667)
http://www.wikidata.org/entity/Q1009707,Q1009707,New Pitsligo,Point(-2.18333 57.5833)
http://www.wikidata.org/entity/Q1009714,Q1009714,Hopeman,Point(-3.43806 57.7083)
http://www.wikidata.org/entity/Q1009722,Q1009722,Gartcosh,Point(-4.08222 55.8881)
http://www.wikidata.org/entity/Q1009725,Q1009725,North Queensferry,Point(-3.39444 56.0111)
http://www.wikidata.org/entity/Q1009731,Q1009731,Pathhead,Point(-3.14639 56.1208)
http://www.wikidata.org/entity/Q1009777,Q1009777,Gardenstown,Point(-2.33333 57.6667)
http://www.wikidata.org/entity/Q1009800,Q1009800,Ratho Station,Point(-3.38778 55.9364)
http://www.wikidata.org/entity/Q1009809,Q1009809,Glenmavis,Point(-3.9983 55.8853)
http://www.wikidata.org/entity/Q1009815,Q1009815,Freuchie,Point(-3.15611 56.2478)
http://www.wikidata.org/entity/Q1009823,Q1009823,Newtyle,Point(-3.14533 56.5584)
