"id","type","lon","lat","place","name","name:en","name:zh","wikipedia","wikidata"
,node,-4.1537,55.8199,,Cambuslang,,,,
,node,-0.3869,50.8319,,Worthing,,,,
,node,-4.41,55.85,,Paisley East,,,,
,node,-1.5527,53.7199,,Ardsley,,,,
,node,-3.3955,56.0323,,Inverkeithing,,,,
,node,-2.0308,52.6904,,Cannock Chase,,,,
,node,1.4374,51.3584,,Broadstairs,,,,
,node,-1.56,52.77,,South Derbyshire,,,,
,node,-1.7803,53.7027,,Brighouse,,,,
,node,-3.83,57.19,,Badenoch,,,,
,node,-2.1038,57.1852,,Bridge of Don,,,,
,node,-4.42,55.85,,Renfrew South,,,,
,node,-5.112,56.817,,Fort William,,,,
,node,-3.1732,56.1951,,Glenrothes Central,,,,
,node,-3.4848,55.9339,,Broxburn,,,,
,node,-0.23,50.84,,Adur,,,,
,node,-2.63,53.54,,Douglas,,,,
,node,-3.8879,56.003,,Bonnybridge,,,,
,node,-1.3626,53.7259,,Castleford Central,,,,
,node,0.5049,51.3891,,Rochester,,,,
,node,-3.6849,55.8668,,Whitburn,,,,
,node,-4.4,55.9,,Clydebank Waterfront,,,,
,node,-4.6592,55.5431,,Troon,,,,
,node,-1.8237,53.6623,,Lindley,,,,
,node,-2.3984,53.5242,,Walkden,,,,
,node,-1.3077,53.6916,,Pontefract,,,,
,node,-4.2264,55.9044,,Bishopbriggs,,,,
,node,-4.2669,55.4532,,Cumnock,,,,
,node,-4.0283,55.8553,,Coatbridge,,,,
,node,-3.3472,56.1106,,Cowdenbeath,,,,
,node,-2.104,53.5819,,Shaw,,,,
,node,-1.778,53.8322,,Shipley,,,,
,node,-3.4214,56.2047,,Kinross-shire,,,,
,node,-3.9092,56.0211,,Denny,,,,
,node,-3.4637,55.8919,,East Livingston,,,,
,node,-4.6977,55.6532,,Kilwinning,,,,
,node,-2.3748,57.2834,,Inverurie,,,,
,node,0.71,51.54,,Milton,,,,
,node,-3.18,56.19,,Glenrothes,,,,
,node,-3.4195,56.0397,,Rosyth,,,,
,node,-3.7232,56.0161,,Grangemouth,,,,
,node,-1.7831,57.5069,,Peterhead,,,,
,node,-1.4895,50.9196,,Totton,,,,
,node,-2.96,53.74,,Fylde,,,,
,node,-1.37,52.73,,North West Leicestershire,,,,
,node,-0.46,51.36,,Elmbridge,,,,
,node,-3.6041,55.9771,,Linlithgow,,,,
,node,-1.4782,53.7494,,Rothwell,,,,
,node,-4.38,55.6,,Irvine Valley,,,,
,node,-4.0333,55.7667,,Hamilton,,,,
,node,-4.1349,57.4891,,Culloden,,,,
,node,-2.16,53.61,,Milkstone,,,,
,node,-1.88,53.62,,Colne Valley,,,,
,node,-3.8,56.03,,Carse,,,,
,node,-3.0714,55.8943,,Dalkeith,,,,
,node,-3.61,55.07,,Nith,,,,
,node,-3.72,55.99,,Lower Braes,,,,
,node,-2.0563,53.484,,Stalybridge,,,,
,node,-3.8039,51.6628,,Neath,,,,
,node,-4.58,56,,Lomond,,,,
,node,-4.5697,55.9441,,Dumbarton,,,,
,node,-4.59,55.52,,Kyle,,,,
